Order_ID,Customer_ID,Order_Date,Product,Category,Quantity,Unit_Price,Total_Amount,Payment_Method,Order_Status,City
5001,1001,2024-01-05,Smartphone,Electronics,1,699,699,Credit Card,Completed,Mumbai
5002,1002,2024-01-06,Laptop,Electronics,1,1200,1200,Credit Card,Completed,Delhi
5003,1003,2024-01-06,T-Shirt,Clothing,3,25,75,UPI,Completed,Bangalore
5004,1004,2024-01-07,Washing Machine,Home Appliances,1,850,850,Debit Card,Completed,Chennai
5005,1005,2024-01-08,Headphones,Electronics,2,80,160,UPI,Completed,Pune
5006,1006,2024-01-09,Sofa,Home Furniture,1,2200,2200,Credit Card,Completed,Mumbai
5007,1007,2024-01-10,Microwave,Home Appliances,1,650,650,Debit Card,Completed,Delhi
5008,1008,2024-01-11,Book Set,Books,5,20,100,Cash,Completed,Jaipur
5009,1009,2024-01-11,Smartwatch,Electronics,1,350,350,UPI,Completed,Bangalore
5010,1010,2024-01-12,Jeans,Clothing,2,45,90,Debit Card,Completed,Mumbai
5011,1011,2024-01-13,Refrigerator,Home Appliances,1,1800,1800,Credit Card,Completed,Delhi
5012,1012,2024-01-14,Shoes,Clothing,2,60,120,UPI,Completed,Pune
5013,1013,2024-01-15,Tablet,Electronics,1,500,500,Credit Card,Completed,Chennai
5014,1014,2024-01-15,Air Conditioner,Home Appliances,1,2600,2600,Credit Card,Completed,Mumbai
5015,1015,2024-01-16,Office Chair,Home Furniture,1,300,300,Debit Card,Completed,Bangalore
5016,1016,2024-01-17,Backpack,Accessories,2,40,80,UPI,Completed,Delhi
5017,1017,2024-01-18,Smart TV,Electronics,1,1500,1500,Credit Card,Completed,Mumbai
5018,1018,2024-01-18,Blender,Home Appliances,1,120,120,Cash,Completed,Jaipur
5019,1019,2024-01-19,Camera,Electronics,1,900,900,Debit Card,Completed,Pune
5020,1020,2024-01-20,Notebook Set,Books,10,10,100,Cash,Completed,Chennai
5021,1021,2024-02-02,Monitor,Electronics,2,250,500,Credit Card,Completed,Mumbai
5022,1022,2024-02-03,Keyboard,Electronics,3,45,135,UPI,Completed,Delhi
5023,1023,2024-02-04,Dining Table,Home Furniture,1,1800,1800,Credit Card,Completed,Bangalore
5024,1024,2024-02-05,Winter Jacket,Clothing,1,150,150,Debit Card,Completed,Shimla
5025,1025,2024-02-06,Earbuds,Electronics,2,70,140,UPI,Completed,Pune
5026,1001,2024-02-07,Power Bank,Electronics,2,50,100,UPI,Completed,Mumbai
5027,1002,2024-02-08,Printer,Electronics,1,400,400,Debit Card,Completed,Delhi
5028,1003,2024-02-09,Bookshelf,Home Furniture,1,600,600,Credit Card,Completed,Bangalore
5029,1004,2024-02-10,Iron,Home Appliances,1,90,90,Cash,Completed,Chennai
5030,1005,2024-02-11,Running Shoes,Clothing,1,120,120,UPI,Completed,Pune
5031,1006,2024-03-01,Tablet Cover,Accessories,3,25,75,UPI,Completed,Mumbai
5032,1007,2024-03-02,Gaming Console,Electronics,1,2200,2200,Credit Card,Completed,Delhi
5033,1008,2024-03-03,Curtains,Home Decor,4,40,160,Debit Card,Completed,Jaipur
5034,1009,2024-03-04,Office Desk,Home Furniture,1,950,950,Credit Card,Completed,Bangalore
5035,1010,2024-03-05,Formal Shirt,Clothing,2,55,110,UPI,Completed,Mumbai
5036,1011,2024-03-06,Vacuum Cleaner,Home Appliances,1,700,700,Debit Card,Completed,Delhi
5037,1012,2024-03-07,LED Lamp,Home Decor,3,35,105,Cash,Completed,Pune
5038,1013,2024-03-08,Smart Speaker,Electronics,1,180,180,UPI,Completed,Chennai
5039,1014,2024-03-09,Mattress,Home Furniture,1,1300,1300,Credit Card,Completed,Mumbai
5040,1015,2024-03-10,Handbag,Accessories,1,90,90,Debit Card,Completed,Bangalore
